Record,Vendor,Job,Phase,Type,Status,Retention,Paid,InvoiceTotal,TotalPaid,Balance,NetDue,Period,LinkNum,BatchNum,PostingYear,Label
56851,4,130768,0,1,4,0,320.07,320.07,320.07,0,0,0,105334,3724,2013,0
56852,4,130768,0,1,4,0,848.99,848.99,848.99,0,0,0,105335,3724,2013,0
57192,359,130768,0,1,4,0,811.18,811.18,811.18,0,0,0,106063,3736,2013,0
57329,319,130768,0,1,4,0,481,481,481,0,0,0,106200,3739,2013,0
57330,319,130768,0,1,4,0,111.86,111.86,111.86,0,0,0,106201,3739,2013,0
57344,4,130768,0,1,4,0,10.9,10.9,10.9,0,0,0,106217,3740,2013,0
57512,345,130768,0,1,4,0,42.02,42.88,42.88,0,0,0,106566,3744,2013,0
57513,345,130768,0,1,4,0,958.39,977.95,977.95,0,0,0,106567,3744,2013,0
57552,1458,130768,105,1,4,0,244.8,244.8,244.8,0,0,0,106606,3744,2013,0
57564,1582,130768,0,1,5,270,0,5400,0,5400,5130,0,106618,3744,2013,0
57565,1582,130768,0,1,4,0,9600,9600,9600,0,0,0,106619,3744,2013,0
57571,217,130768,0,1,4,0,13.68,13.68,13.68,0,0,0,106625,3745,2013,0
57580,577,130768,0,1,4,0,13686.67,13686.67,13686.67,0,0,0,106634,3745,2013,0
57581,577,130768,0,1,4,0,14719.14,14719.14,14719.14,0,0,0,106635,3745,2013,0
57720,284,130768,0,1,4,0,738.73,746.19,746.19,0,0,0,106858,3752,2013,0
57722,4,130768,105,1,4,0,87.44,87.44,87.44,0,0,0,106860,3752,2013,0
57727,386,130768,0,1,4,0,3111.34,3111.34,3111.34,0,0,0,106865,3752,2013,0
57736,345,130768,0,1,4,0,1553.72,1585.43,1585.43,0,0,0,106946,3754,2013,0
57744,3,130768,0,1,4,0,496.88,501.9,501.9,0,0,0,106954,3754,2013,0
57773,245,130768,0,1,4,0,455.3,459.9,459.9,0,0,0,106983,3755,2013,0
57774,245,130768,0,1,4,0,829.36,837.74,837.74,0,0,0,106984,3755,2013,0
57775,245,130768,104,1,4,0,387.09,391,391,0,0,0,106985,3755,2013,0
57776,245,130768,104,1,4,0,264.51,267.18,267.18,0,0,0,106986,3755,2013,0
57780,77,130768,0,1,4,0,1514.4,1682.67,1682.67,0,0,0,106990,3755,2013,0
57781,77,130768,102,1,4,0,97.6,108.44,108.44,0,0,0,106991,3755,2013,0
57782,77,130768,0,1,4,0,445.44,494.93,494.93,0,0,0,106992,3755,2013,0
57914,180,130768,0,1,4,0,711.28,711.28,711.28,0,0,0,107238,0,2013,0
57919,180,130768,0,1,4,0,323.65,323.65,323.65,0,0,0,107248,0,2013,0
58030,1582,130768,0,1,4,0,5400,5400,5400,0,0,0,107496,3759,2013,0
58031,345,130768,0,1,4,0,3954.79,4035.5,4035.5,0,0,0,107505,3760,2013,0
58032,345,130768,102,1,4,0,1240.29,1265.6,1265.6,0,0,0,107506,3760,2013,0
58035,284,130768,0,1,4,0,689.79,696.76,696.76,0,0,0,107509,3760,2013,0
58062,1194,130768,0,1,4,0,286.9,286.9,286.9,0,0,0,107536,3760,2013,0
58066,4,130768,105,1,4,0,119.52,119.52,119.52,0,0,0,107540,3760,2013,0
58067,4,130768,0,1,4,0,126.08,126.08,126.08,0,0,0,107541,3760,2013,0
58068,4,130768,105,1,4,0,166.42,166.42,166.42,0,0,0,107542,3760,2013,0
58073,245,130768,0,1,4,0,74.29,75.04,75.04,0,0,0,107547,3760,2013,0
58074,245,130768,104,1,4,0,130.09,131.4,131.4,0,0,0,107548,3760,2013,0
58079,77,130768,104,1,4,0,468.16,520.18,520.18,0,0,0,107553,3760,2013,0
58080,77,130768,104,1,4,0,1150.6,1278.44,1278.44,0,0,0,107554,3760,2013,0
58081,77,130768,0,1,4,0,437.2,485.78,485.78,0,0,0,107555,3760,2013,0
58083,217,130768,0,1,4,0,5799.37,5799.37,5799.37,0,0,0,107557,3760,2013,0
58085,217,130768,0,1,4,0,320,320,320,0,0,0,107559,3760,2013,0
58127,4,130768,0,1,4,0,113.63,113.63,113.63,0,0,0,107607,3762,2013,0
58223,345,130768,0,1,4,0,6095.18,6219.57,6219.57,0,0,0,107826,3763,2013,0
58225,284,130768,0,1,4,0,519.06,519.06,519.06,0,0,0,107828,3763,2013,0
58256,4,130768,104,1,4,0,177.31,177.31,177.31,0,0,0,107870,3764,2013,0
58257,4,130768,0,1,4,0,17.45,17.45,17.45,0,0,0,107871,3764,2013,0
58274,1458,130768,102,1,4,0,691.2,691.2,691.2,0,0,0,107888,3764,2013,0
58283,245,130768,0,1,4,0,341.55,345,345,0,0,0,107897,3764,2013,0
58284,245,130768,112,1,4,0,4.81,4.86,4.86,0,0,0,107898,3764,2013,0
58285,245,130768,102,1,4,0,211.46,213.6,213.6,0,0,0,107899,3764,2013,0
58288,217,130768,0,1,4,0,1242.7,1242.7,1242.7,0,0,0,107903,3764,2013,0
58298,319,130768,0,1,5,0,0,179.42,0,179.42,179.42,0,107913,3764,2013,0
58299,319,130768,0,1,5,0,0,25.36,0,25.36,25.36,0,107914,3764,2013,0
58300,319,130768,0,1,4,0,179.42,179.42,179.42,0,0,0,107915,3764,2013,0
58301,319,130768,0,1,4,0,25.36,25.36,25.36,0,0,0,107916,3764,2013,0
58334,4,130768,0,1,4,0,11.36,11.36,11.36,0,0,0,107949,3766,2013,0
58433,359,130768,0,1,4,0,337.5,337.5,337.5,0,0,0,108181,3770,2013,0
58434,345,130768,0,1,4,0,460.99,470.4,470.4,0,0,0,108182,3770,2013,0
58436,284,130768,0,1,4,0,358.38,362,362,0,0,0,108185,3770,2013,0
58437,284,130768,0,1,4,0,5886.19,5945.65,5945.65,0,0,0,108186,3770,2013,0
58457,405,130768,0,1,4,0,956.01,956.01,956.01,0,0,0,108208,3770,2013,0
58458,405,130768,0,1,4,0,33.36,33.36,33.36,0,0,0,108209,3770,2013,0
58469,4,130768,112,1,4,0,197.06,197.06,197.06,0,0,0,108221,3770,2013,0
58470,4,130768,0,1,4,0,418.84,418.84,418.84,0,0,0,108222,3770,2013,0
58478,245,130768,0,1,4,0,154.44,156,156,0,0,0,108230,3770,2013,0
58479,245,130768,102,1,4,0,317.2,320.4,320.4,0,0,0,108231,3770,2013,0
58480,245,130768,0,1,4,0,19.46,19.66,19.66,0,0,0,108232,3770,2013,0
58490,217,130768,0,1,4,0,1028.38,1028.38,1028.38,0,0,0,108243,3770,2013,0
58535,4,130768,0,1,4,0,22.97,22.97,22.97,0,0,0,108291,3771,2013,0
58536,4,130768,0,1,4,0,169.75,169.75,169.75,0,0,0,108292,3771,2013,0
58537,4,130768,0,1,4,0,15.19,15.19,15.19,0,0,0,108293,3771,2013,0
58642,345,130768,0,1,4,0,1334.4,1334.4,1334.4,0,0,0,108602,3774,2013,0
58645,284,130768,0,1,4,0,572.47,578.25,578.25,0,0,0,108605,3774,2013,0
58647,284,130768,0,1,4,0,418.77,423,423,0,0,0,108607,3774,2013,0
